Year,Cause of Injury,Estimated Number,Percent of Self-Harm,Percent,Cases (Sample),
2011,"""Self-Harm Inhalation / Suffocation""","4,195",0.89%,0.20%,64,473134
2011,"""Self-Harm Other Specified""","68,924",14.57%,2.90%,"1,352",473134
2011,"""Self-Harm Poisoning""","282,314",59.67%,12.00%,"4,328",473134
2011,"""Self-Harm Struck by /Against""","15,396",3.25%,0.70%,256,473134
2012,"""Self-Harm Cut/Pierce""","108,199",23.45%,4.70%,"1,861","461,367"
2012,"""Self-Harm Other Specified""","72,835",15.79%,3.20%,"1,537",461367
2012,"""Self-Harm Poisoning""","265,537",57.55%,11.50%,"4,195",461367
2012,"""Self-Harm Struck by /Against""","14,796",3.21%,0.60%,281,461367
2013,"""Self-Harm Cut/Pierce""","109,862",23.01%,4.90%,"2,061","477,361"
2013,"""Self-Harm Foreign Body""","5,337",1.12%,0.20%,131,477361
2013,"""Self-Harm Other Specified""","85,281",17.87%,3.80%,"1,916",477361
2013,"""Self-Harm Poisoning""","260,175",54.50%,11.60%,"4,127",477361
2013,"""Self-Harm Struck by /Against""","16,706",3.50%,0.80%,336,477361
2014,"""Self-Harm Cut/Pierce""","112,845",25.23%,5.40%,"2,292","447,271"
2014,"""Self-Harm Other Specified""","77,622",17.35%,3.70%,"1,727",447271
2014,"""Self-Harm Poisoning""","242,085",54.12%,11.50%,"3,693",447271
2014,"""Self-Harm Struck by /Against""","14,719",3.29%,0.70%,325,447271
2015,"""Self-Harm Cut/Pierce""","113,736",23.35%,5.30%,"2,233","487,013"
2015,"""Self-Harm Foreign Body""","4,390",0.90%,0.20%,116,487013
2015,"""Self-Harm Other Specified""","88,379",18.15%,4.10%,"1,785",487013
2015,"""Self-Harm Poisoning""","263,822",54.17%,12.20%,"3,769",487013
2015,"""Self-Harm Struck by /Against""","16,686",3.43%,0.80%,339,487013
2016,"""Self-Harm Cut/Pierce""","115,005",23.79%,5.20%,"2,099","483,372"
2016,"""Self-Harm Foreign Body""","4,873",1.01%,0.20%,112,483372
2016,"""Self-Harm Inhalation / Suffocation""","4,091",0.85%,0.20%,71,483372
2016,"""Self-Harm Other Specified""","75,694",15.66%,3.40%,"1,606",483372
2016,"""Self-Harm Poisoning""","266,175",55.07%,11.90%,"3,661",483372
2016,"""Self-Harm Struck by /Against""","17,534",3.63%,0.80%,341,483372
2017,"""Self-Harm Cut/Pierce""","114,530",24.07%,5.00%,"2,340","475,845"
2017,"""Self-Harm Fall""","4,816",1.01%,0.20%,86,475845
2017,"""Self-Harm Foreign Body""","5,777",1.21%,0.30%,129,475845
2017,"""Self-Harm Other Specified""","67,824",14.25%,3.00%,"1,625",475845
2017,"""Self-Harm Poisoning""","261,588",54.97%,11.40%,"3,915",475845
2017,"""Self-Harm Struck by /Against""","21,310",4.48%,0.90%,452,475845
2018,"""Self-Harm Cut/Pierce""","135,060",28.53%,6.40%,"2,704","473,364"
2018,"""Self-Harm Inhalation / Suffocation""","6,732",1.42%,0.30%,108,473364
2018,"""Self-Harm Other Specified""","66,295",14.01%,3.10%,"1,428",473364
2018,"""Self-Harm Poisoning""","241,849",51.09%,11.40%,"3,640",473364
2018,"""Self-Harm Struck by /Against""","23,428",4.95%,1.10%,473,473364
2019,"""Self-Harm Cut/Pierce""","139,075",29.57%,6.70%,"3,031","470,248"
2019,"""Self-Harm Fall""","5,557",1.18%,0.30%,94,470248
2019,"""Self-Harm Inhalation / Suffocation""","7,956",1.69%,0.40%,123,470248
2019,"""Self-Harm Other Specified""","51,151",10.88%,2.50%,"1,225",470248
2019,"""Self-Harm Poisoning""","240,231",51.09%,11.50%,"3,727",470248
2019,"""Self-Harm Struck by /Against""","26,278",5.59%,1.30%,547,470248
2020,"""Self-Harm Cut/Pierce""","152,856",33.14%,7.70%,"2,965","461,286"
2020,"""Self-Harm Fall""","5,927",1.28%,0.30%,109,461286
2020,"""Self-Harm Inhalation / Suffocation""","6,204",1.34%,0.30%,107,461286
2020,"""Self-Harm Other Specified""","44,926",9.74%,2.30%,"1,286",461286
2020,"""Self-Harm Poisoning""","228,766",49.59%,11.50%,"3,811",461286
2020,"""Self-Harm Struck by /Against""","22,607",4.90%,1.10%,500,461286
2021,"""Self-Harm Cut/Pierce""","156,985",33.63%,8.00%,"3,385","466,865"
2021,"""Self-Harm Inhalation / Suffocation""","8,015",1.72%,0.40%,157,466865
2021,"""Self-Harm Other Specified""","57,608",12.34%,2.90%,"1,612",466865
2021,"""Self-Harm Poisoning""","220,589",47.25%,11.30%,"4,088",466865
2021,"""Self-Harm Struck by /Against""","23,668",5.07%,1.20%,487,466865
2022,"""Self-Harm Cut/Pierce""","160,391",30.29%,7.60%,"4,470","529,456"
2022,"""Self-Harm Fall""","6,348",1.20%,0.30%,163,529456
2022,"""Self-Harm Foreign Body""","7,378",1.39%,0.40%,187,529456
2022,"""Self-Harm Inhalation / Suffocation""","13,214",2.50%,0.60%,368,529456
2022,"""Self-Harm Other Specified""","66,761",12.61%,3.20%,"2,092",529456
2022,"""Self-Harm Poisoning""","250,025",47.22%,11.90%,"5,821",529456
2022,"""Self-Harm Struck by /Against""","25,339",4.79%,1.20%,708,529456
